Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
